,PassengerId,Survived,Name,Sex,Age,SibSp,Parch
0,1,0,"Braund, Mr. Owen Harris",male,22,1,0
1,2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0
2,3,1,"Heikkinen, Miss. Laina",female,26,0,0
3,4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0
4,5,0,"Allen, Mr. William Henry",male,35,0,0
5,6,0,"Moran, Mr. James",male,,0,0
6,7,0,"McCarthy, Mr. Timothy J",male,54,0,0
7,8,0,"Palsson, Master. Gosta Leonard",male,2,3,1
8,9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2
9,10,1,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0
10,11,1,"Sandstrom, Miss. Marguerite Rut",female,4,1,1
11,12,1,"Bonnell, Miss. Elizabeth",female,58,0,0
12,13,0,"Saundercock, Mr. William Henry",male,20,0,0
13,14,0,"Andersson, Mr. Anders Johan",male,39,1,5
14,15,0,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0
15,16,1,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0
16,17,0,"Rice, Master. Eugene",male,2,4,1
17,18,1,"Williams, Mr. Charles Eugene",male,,0,0
18,19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0
19,20,1,"Masselmani, Mrs. Fatima",female,,0,0
20,21,0,"Fynney, Mr. Joseph J",male,35,0,0
21,22,1,"Beesley, Mr. Lawrence",male,34,0,0
22,23,1,"""McGowan, Miss. Anna """"Annie""""""",female,15,0,0
23,24,1,"Sloper, Mr. William Thompson",male,28,0,0
24,25,0,"Palsson, Miss. Torborg Danira",female,8,3,1
25,26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5
26,27,0,"Emir, Mr. Farred Chehab",male,,0,0
27,28,0,"Fortune, Mr. Charles Alexander",male,19,3,2
28,29,1,"""O'Dwyer, Miss. Ellen """"Nellie""""""",female,,0,0
29,30,0,"Todoroff, Mr. Lalio",male,,0,0
30,31,0,"Uruchurtu, Don. Manuel E",male,40,0,0
31,32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0
32,33,1,"Glynn, Miss. Mary Agatha",female,,0,0
33,34,0,"Wheadon, Mr. Edward H",male,66,0,0
34,35,0,"Meyer, Mr. Edgar Joseph",male,28,1,0
35,36,0,"Holverson, Mr. Alexander Oskar",male,42,1,0
36,37,1,"Mamee, Mr. Hanna",male,,0,0
37,38,0,"Cann, Mr. Ernest Charles",male,21,0,0
38,39,0,"Vander Planke, Miss. Augusta Maria",female,18,2,0
39,40,1,"Nicola-Yarred, Miss. Jamila",female,14,1,0
40,41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0
41,42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0
42,43,0,"Kraeff, Mr. Theodor",male,,0,0
43,44,1,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2
44,45,1,"Devaney, Miss. Margaret Delia",female,19,0,0
45,46,0,"Rogers, Mr. William John",male,,0,0
46,47,0,"Lennon, Mr. Denis",male,,1,0
47,48,1,"O'Driscoll, Miss. Bridget",female,,0,0
48,49,0,"Samaan, Mr. Youssef",male,,2,0
49,50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0
50,51,0,"Panula, Master. Juha Niilo",male,7,4,1
51,52,0,"Nosworthy, Mr. Richard Cater",male,21,0,0
52,53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0
53,54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0
54,55,0,"Ostby, Mr. Engelhart Cornelius",male,65,0,1
55,56,1,"Woolner, Mr. Hugh",male,,0,0
56,57,1,"Rugg, Miss. Emily",female,21,0,0
57,58,0,"Novel, Mr. Mansouer",male,28.5,0,0
58,59,1,"West, Miss. Constance Mirium",female,5,1,2
59,60,0,"Goodwin, Master. William Frederick",male,11,5,2
60,61,0,"Sirayanian, Mr. Orsen",male,22,0,0
61,62,1,"Icard, Miss. Amelie",female,38,0,0
62,63,0,"Harris, Mr. Henry Birkhardt",male,45,1,0
63,64,0,"Skoog, Master. Harald",male,4,3,2
64,65,0,"Stewart, Mr. Albert A",male,,0,0
65,66,1,"Moubarek, Master. Gerios",male,,1,1
66,67,1,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0
67,68,0,"Crease, Mr. Ernest James",male,19,0,0
68,69,1,"Andersson, Miss. Erna Alexandra",female,17,4,2
69,70,0,"Kink, Mr. Vincenz",male,26,2,0
70,71,0,"Jenkin, Mr. Stephen Curnow",male,32,0,0
71,72,0,"Goodwin, Miss. Lillian Amy",female,16,5,2
72,73,0,"Hood, Mr. Ambrose Jr",male,21,0,0
73,74,0,"Chronopoulos, Mr. Apostolos",male,26,1,0
74,75,1,"Bing, Mr. Lee",male,32,0,0
75,76,0,"Moen, Mr. Sigurd Hansen",male,25,0,0
76,77,0,"Staneff, Mr. Ivan",male,,0,0
77,78,0,"Moutal, Mr. Rahamin Haim",male,,0,0
78,79,1,"Caldwell, Master. Alden Gates",male,0.83,0,2
79,80,1,"Dowdell, Miss. Elizabeth",female,30,0,0
80,81,0,"Waelens, Mr. Achille",male,22,0,0
81,82,1,"Sheerlinck, Mr. Jan Baptist",male,29,0,0
82,83,1,"McDermott, Miss. Brigdet Delia",female,,0,0
83,84,0,"Carrau, Mr. Francisco M",male,28,0,0
84,85,1,"Ilett, Miss. Bertha",female,17,0,0
85,86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0
86,87,0,"Ford, Mr. William Neal",male,16,1,3
87,88,0,"Slocovski, Mr. Selman Francis",male,,0,0
88,89,1,"Fortune, Miss. Mabel Helen",female,23,3,2
89,90,0,"Celotti, Mr. Francesco",male,24,0,0
90,91,0,"Christmann, Mr. Emil",male,29,0,0
91,92,0,"Andreasson, Mr. Paul Edvin",male,20,0,0
92,93,0,"Chaffee, Mr. Herbert Fuller",male,46,1,0
93,94,0,"Dean, Mr. Bertram Frank",male,26,1,2
94,95,0,"Coxon, Mr. Daniel",male,59,0,0
95,96,0,"Shorney, Mr. Charles Joseph",male,,0,0
96,97,0,"Goldschmidt, Mr. George B",male,71,0,0
97,98,1,"Greenfield, Mr. William Bertram",male,23,0,1
98,99,1,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1
99,100,0,"Kantor, Mr. Sinai",male,34,1,0
100,101,0,"Petranec, Miss. Matilda",female,28,0,0
101,102,0,"""Petroff, Mr. Pastcho (""""Pentcho"""")""",male,,0,0
102,103,0,"White, Mr. Richard Frasar",male,21,0,1
103,104,0,"Johansson, Mr. Gustaf Joel",male,33,0,0
104,105,0,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0
105,106,0,"Mionoff, Mr. Stoytcho",male,28,0,0
